Fájlnév;Hiba típus;Részletek
._31898.pdf;OCR_FAILED;Nem olvasható szöveg
._31899.pdf;OCR_FAILED;Nem olvasható szöveg
._31900.pdf;OCR_FAILED;Nem olvasható szöveg
._31901.pdf;OCR_FAILED;Nem olvasható szöveg
._31902.pdf;OCR_FAILED;Nem olvasható szöveg
._31903.pdf;OCR_FAILED;Nem olvasható szöveg
._31904.pdf;OCR_FAILED;Nem olvasható szöveg
._31905.pdf;OCR_FAILED;Nem olvasható szöveg
._31906.pdf;OCR_FAILED;Nem olvasható szöveg
._31907.pdf;OCR_FAILED;Nem olvasható szöveg
._31908.pdf;OCR_FAILED;Nem olvasható szöveg
._31922.pdf;OCR_FAILED;Nem olvasható szöveg
._31929.pdf;OCR_FAILED;Nem olvasható szöveg
._31936.pdf;OCR_FAILED;Nem olvasható szöveg
._31958.pdf;OCR_FAILED;Nem olvasható szöveg
._32070.pdf;OCR_FAILED;Nem olvasható szöveg
._32076.pdf;OCR_FAILED;Nem olvasható szöveg
._32078.pdf;OCR_FAILED;Nem olvasható szöveg
._32082.pdf;OCR_FAILED;Nem olvasható szöveg
._32084.pdf;OCR_FAILED;Nem olvasható szöveg
._32085.pdf;OCR_FAILED;Nem olvasható szöveg
._32086.pdf;OCR_FAILED;Nem olvasható szöveg
._32089.pdf;OCR_FAILED;Nem olvasható szöveg
._32099.pdf;OCR_FAILED;Nem olvasható szöveg
._32109.pdf;OCR_FAILED;Nem olvasható szöveg
._32110.pdf;OCR_FAILED;Nem olvasható szöveg
._32134.pdf;OCR_FAILED;Nem olvasható szöveg
._32169.pdf;OCR_FAILED;Nem olvasható szöveg
._32284.pdf;OCR_FAILED;Nem olvasható szöveg
._32306.pdf;OCR_FAILED;Nem olvasható szöveg
._32328.pdf;OCR_FAILED;Nem olvasható szöveg
._32342.pdf;OCR_FAILED;Nem olvasható szöveg
._32353.pdf;OCR_FAILED;Nem olvasható szöveg
._32390.pdf;OCR_FAILED;Nem olvasható szöveg
._32443.pdf;OCR_FAILED;Nem olvasható szöveg
._32458.pdf;OCR_FAILED;Nem olvasható szöveg
._32496.pdf;OCR_FAILED;Nem olvasható szöveg
._32516.pdf;OCR_FAILED;Nem olvasható szöveg
._32517.pdf;OCR_FAILED;Nem olvasható szöveg
._32518.pdf;OCR_FAILED;Nem olvasható szöveg
._32545.pdf;OCR_FAILED;Nem olvasható szöveg
._32555.pdf;OCR_FAILED;Nem olvasható szöveg
._32561.pdf;OCR_FAILED;Nem olvasható szöveg
._32588.pdf;OCR_FAILED;Nem olvasható szöveg
._32646.pdf;OCR_FAILED;Nem olvasható szöveg
._32650.pdf;OCR_FAILED;Nem olvasható szöveg
._32653.pdf;OCR_FAILED;Nem olvasható szöveg
._32780.pdf;OCR_FAILED;Nem olvasható szöveg
._32794.pdf;OCR_FAILED;Nem olvasható szöveg
._32802.pdf;OCR_FAILED;Nem olvasható szöveg
._32803.pdf;OCR_FAILED;Nem olvasható szöveg
._32849.pdf;OCR_FAILED;Nem olvasható szöveg
._32866.pdf;OCR_FAILED;Nem olvasható szöveg
._32870.pdf;OCR_FAILED;Nem olvasható szöveg
._32876.pdf;OCR_FAILED;Nem olvasható szöveg
._32877.pdf;OCR_FAILED;Nem olvasható szöveg
._32878.pdf;OCR_FAILED;Nem olvasható szöveg
._32879.pdf;OCR_FAILED;Nem olvasható szöveg
._32886.pdf;OCR_FAILED;Nem olvasható szöveg
._32888.pdf;OCR_FAILED;Nem olvasható szöveg
._32892.pdf;OCR_FAILED;Nem olvasható szöveg
._32893.pdf;OCR_FAILED;Nem olvasható szöveg
._32907.pdf;OCR_FAILED;Nem olvasható szöveg
._32965.pdf;OCR_FAILED;Nem olvasható szöveg
._32985.pdf;OCR_FAILED;Nem olvasható szöveg
._33031.pdf;OCR_FAILED;Nem olvasható szöveg
._33038.pdf;OCR_FAILED;Nem olvasható szöveg
._33040.pdf;OCR_FAILED;Nem olvasható szöveg
._33041.pdf;OCR_FAILED;Nem olvasható szöveg
._33114.pdf;OCR_FAILED;Nem olvasható szöveg
._33116.pdf;OCR_FAILED;Nem olvasható szöveg
._33174.pdf;OCR_FAILED;Nem olvasható szöveg
._33244.pdf;OCR_FAILED;Nem olvasható szöveg
._33246.pdf;OCR_FAILED;Nem olvasható szöveg
._33247.pdf;OCR_FAILED;Nem olvasható szöveg
._33293.pdf;OCR_FAILED;Nem olvasható szöveg
._33295.pdf;OCR_FAILED;Nem olvasható szöveg
._33298.pdf;OCR_FAILED;Nem olvasható szöveg
._33300.pdf;OCR_FAILED;Nem olvasható szöveg
._33302.pdf;OCR_FAILED;Nem olvasható szöveg
._33303.pdf;OCR_FAILED;Nem olvasható szöveg
._33307.pdf;OCR_FAILED;Nem olvasható szöveg
._33308.pdf;OCR_FAILED;Nem olvasható szöveg
._33310.pdf;OCR_FAILED;Nem olvasható szöveg
._33314.pdf;OCR_FAILED;Nem olvasható szöveg
._33319.pdf;OCR_FAILED;Nem olvasható szöveg
._33321.pdf;OCR_FAILED;Nem olvasható szöveg
._33322.pdf;OCR_FAILED;Nem olvasható szöveg
._33323.pdf;OCR_FAILED;Nem olvasható szöveg
._33324.pdf;OCR_FAILED;Nem olvasható szöveg
._33325.pdf;OCR_FAILED;Nem olvasható szöveg
._33326.pdf;OCR_FAILED;Nem olvasható szöveg
._33327.pdf;OCR_FAILED;Nem olvasható szöveg
._33328.pdf;OCR_FAILED;Nem olvasható szöveg
._33329.pdf;OCR_FAILED;Nem olvasható szöveg
._33334.pdf;OCR_FAILED;Nem olvasható szöveg
._33336.pdf;OCR_FAILED;Nem olvasható szöveg
._33337.pdf;OCR_FAILED;Nem olvasható szöveg
._33339.pdf;OCR_FAILED;Nem olvasható szöveg
._33340.pdf;OCR_FAILED;Nem olvasható szöveg
._33341.pdf;OCR_FAILED;Nem olvasható szöveg
._33342.pdf;OCR_FAILED;Nem olvasható szöveg
._33344.pdf;OCR_FAILED;Nem olvasható szöveg
._33348.pdf;OCR_FAILED;Nem olvasható szöveg
._33349.pdf;OCR_FAILED;Nem olvasható szöveg
._33350.pdf;OCR_FAILED;Nem olvasható szöveg
._33351.pdf;OCR_FAILED;Nem olvasható szöveg
._33352.pdf;OCR_FAILED;Nem olvasható szöveg
._33353.pdf;OCR_FAILED;Nem olvasható szöveg
._33354.pdf;OCR_FAILED;Nem olvasható szöveg
._33356.pdf;OCR_FAILED;Nem olvasható szöveg
._33359.pdf;OCR_FAILED;Nem olvasható szöveg
._33360.pdf;OCR_FAILED;Nem olvasható szöveg
._33361.pdf;OCR_FAILED;Nem olvasható szöveg
._33362.pdf;OCR_FAILED;Nem olvasható szöveg
._33363.pdf;OCR_FAILED;Nem olvasható szöveg
._33364.pdf;OCR_FAILED;Nem olvasható szöveg
._33368.pdf;OCR_FAILED;Nem olvasható szöveg
._33372.pdf;OCR_FAILED;Nem olvasható szöveg
._33373.pdf;OCR_FAILED;Nem olvasható szöveg
._33375.pdf;OCR_FAILED;Nem olvasható szöveg
._33412.pdf;OCR_FAILED;Nem olvasható szöveg
._33430.pdf;OCR_FAILED;Nem olvasható szöveg
._33455.pdf;OCR_FAILED;Nem olvasható szöveg
._33472.pdf;OCR_FAILED;Nem olvasható szöveg
._33478.pdf;OCR_FAILED;Nem olvasható szöveg
._33479.pdf;OCR_FAILED;Nem olvasható szöveg
._33485.pdf;OCR_FAILED;Nem olvasható szöveg
._33524.pdf;OCR_FAILED;Nem olvasható szöveg
._33525.pdf;OCR_FAILED;Nem olvasható szöveg
._33533.pdf;OCR_FAILED;Nem olvasható szöveg
._33540.pdf;OCR_FAILED;Nem olvasható szöveg
._33549.pdf;OCR_FAILED;Nem olvasható szöveg
._33551.pdf;OCR_FAILED;Nem olvasható szöveg
._33555.pdf;OCR_FAILED;Nem olvasható szöveg
._33563.pdf;OCR_FAILED;Nem olvasható szöveg
._33600.pdf;OCR_FAILED;Nem olvasható szöveg
._33602.pdf;OCR_FAILED;Nem olvasható szöveg
._33604.pdf;OCR_FAILED;Nem olvasható szöveg
._33605.pdf;OCR_FAILED;Nem olvasható szöveg
